今 古
特开陋室恐长途辛苦误勾留杨柳楼台 风雨送劳人特为筑室道旁聊避劳人风雨
穿针引线喜看鸾凤四化途中比翼齐飞 择新娘择绿择红择乱心心要追求真情感
夕阳无语，最可惜一片江山 ——梁启超集王晋卿、辛稼轩、张耒、姜白石句
长戈满地,一亭独幽,客子河梁携手去 把酒问天,陶然共醉,西山秋色上衣来
治统溯钦承,法戒兼资,洵哉古可为监 政经崇秩祀,实枚式焕,穆矣神其孔安
随遇而安,好领略半盏新茶,一炉宿火 会心不远,最难忘别来旧雨,经过名山
古属南苏州,岂无吴会讴歈,陈隋金粉 新翻出塞曲,间以浑驼剑器,敕勒边声
白云舒卷,南望千峰,秋月春光昭古迹 塔影横陈,北临一水,岁修时护焕新容
春秋大一王,拒北和东,诸葛尚非知己 纲目存正统,尊刘抑魏,紫阳方是同心
邯郸道上,黄鹤楼头,一剑西风留幻迹 卫水桥边,浮丘林表,三山海路在尘寰
定谋全胜,唾手燕云,终欲复仇而报国 筹略两河,誓心天地,且令稽首以称蕃
积愤难平,要直抵黄龙,方与诸君痛饮 英灵不爽,看归来白鹤,犹衔当日精忠
幻即是真,世态人情,描写得淋漓尽致 今也犹古,新闻旧事,扮演来毫发无差
宝筏渡迷津,源里大河边,牛愿相逢去 金绳开觉路,井中蛇藤上,鼠应早脱来
斯而斯民,饮水知源,高台重铸禹尊容 宝殿巍峨,仰真像威严,理水功存百世
笔诤时政,心在苍生,万户争传新乐府 堤建西湖,神归东洛,千秋永祀老诗翁
邙北当年郁圣陵,首回伊阙,魂回汉阙 洛南此处埋忠骨,地在天中,心在人中
慕南皮胜游,朱李甘瓜,愿十日平原住 忆西湖好景,风裳水佩,作三潭印月观
烟雨楼台,革命萌生,此间曾著星星火 风云世界,逢春蛰起,到处皆闻殷殷雷
大邑广甄陶,出入是门,岂仅习仪为亟 高山勤仰止,誉髦斯土,从教敬德无疆
拜斯人,便思学斯人,莫混账磕了头去 入此山,须要出此山,当仔细扪着心来
青山横郭,白水绕城,孤屿大江双塔院 初日芙蓉,晚风杨柳,一楼千古两诗人
白雁谶妖声,一旅孤舟,莫挽厓山事去 黄冠殉故国,大江落日,好招柴市魂归
守殷人尚鬼遗风,开国承家,公真健者 伸鲁史复仇大义,取威定霸,侯其祎而
冶铜刓玉,拨蜡销金,解得汉人成印处 揉艾研砂,封泥署纸,流传谱录任君参
印成秦汉一家,丁布衣归乎？斯文未坠 社邻梅鹤二轩,林处士去矣,吾道岂孤
湖胜潇湘,楼若烟雨,把酒高吟集游客 峰有南北,月无古今,登山远览属骚人
布置幽居,最好是雅座几椽、梅英数点 湖山佳处,端不在璚楼百尺、花样一新
十四州一剑霜寒,辟门天子,闭门节使 三五夜群婓玉艳,陌上花开,江上潮来
功在生民,借传闻异辞,信史尚留曲笔 德垂奕禩,怅播迁中叶,支流莫溯真源
双树戢晖,五天潜响,却欣东土佛常春 松韵鼓笙簧,和南屏之晚钟,清如雅奏
阁邻星宿,玉枢宝训,万灵俯听鬼神趋 百事莫熏心,密尔燎原,到处尽成灰烬
筑墓占山水名区,杨柳两堤,如张图画 奏乐作春秋时享,梅花一赋,永播弦歌
偷得半世余闲,惟啸月吟风,快然自足 留此数弓隙地,且莳花种树,聊寄乡心
一样著书庐,平分吴郡新诗,杭州旧酒 数间枕山屋,认取南屏对渡,西爽闲亭
为公忙,为私忙,忙里偷闲,吃碗茶去 求名苦,求利苦,苦中作乐,拿壶酒来
址旧建维新,依然绕郭芙蓉,幂堤杨柳 居高心自远,最忆佛岩翠霭,华浦晴波
湖山在目,玉局曾来,又七百年于兹矣 冰雪为心,科徭不扰,斯二千石之职欤
沁雪贮寒泉,一片清虚,照彻大千世界 开山成宝相,十分圆满,想见丈六金身
妻节女贞,一门芳誉,明明同日月争光 南人归南,北人归北,小朝廷岂求活耶
笑骂尽文章,离合悲欢,唤醒人心梦梦 古今因果报,贤奸忠佞,难逃天网恢恢
登铜井山揽胜而来,七二奇峰都归眼底 有香雪海寻源可入,三六福地自在胸中
有水有山,宜桑宜竹,问马洲江南江北 无尘无俗,尚理尚文,看书院日异月新
马陵道旁,青伊湖边,酒香在桃林深处 羽山脚下,飞霞阁里,泉暖能胜过春寒
天目近山居,地拓三弓,扑去俗尘数斗 君身抱仙骨,花间独酌,邀来明月一轮
至诚之功,孚及豚鱼,虽阿瞒莫敢不服 大义所归,坚如金石,惟使君乃得而臣
看周遮云实日华,低则若承,高则若拱 要摆脱天荆地棘,明不如晦,灵不如顽
翠柏苍松,绮亭若画,载酒我来谈风月 青畴绿野,学稼方勤,荷锄人去话桑麻
镜物悟真空,师能脱俗潜修,便成鹫岭 熙春回浩劫,我亦随缘小憩,来眺鸥波
为名忙,为利忙,忙里偷闲,吃杯茶去 劳心苦,劳力苦,苦中作乐,拿壶酒来
隔水问名园,竹坞花滩,往日画图安在 登台望虚邑,茅檐土爨,此时烟火都稀
见了便做,做了便放下,了了有何不了 慧生于觉,觉生于自在,生生还是无生
让国有三,大圣人信口赞扬,推见至德 世家第一,太史公平心论定,勒石成书
先天下忧,后天下乐,处江淮而怀堂庙 与古人嵇,同今人居,若丘垤之仰泰山
余韵忆当年,差幸往献堪徵,斯文未坠 登临凭此日,来看长湖叠雪,双塔撑天
当时怜嫂后怜姑,形姑之清者全由嫂浊 昔日露筋今露骨,笑骨之脆者只为筋柔
故乡儿女,缅怀音容,写情应竭淮河水 一世功勋,永垂史册,继往还看后代人
览胜登高,正万树枫叶如霞,黄花遍地 临风把酒,看两岸芦花似雪,碧水浮天
登临纵目,喜血雨腥风,已伴大江流逝 俯仰兴怀,看龙盘虎踞,正随盛世昌明
天命诛妖,杀尽群妖,万里河山归化日 王赫斯怒,勃然一怒,六军介胄逞威风
翼载著鸿猷,合四海之人民,齐归掌握 王威驰骏誉,率万方之黎庶,尽入版图
一曲后庭花,夜泊销魂,客是三生杜牧 东边旧时月,女墙怀古,我为前度刘郎
看一水西流,画舫清樽,且喜金吾不禁 唱大江东去,铜琶铁板,须邀玉局同来
璧月夜夜,琼树朝朝,绿水红桥舟似织 诗老莺莺,公子燕燕,清歌妙舞酒如淮
天际画壁垂四座,寄来都带六朝烟水气 楼前歌舫过三更,月冷犹闻一路管弦声
道宗伊洛学宗闽,一脉渊源,承先启后 山似屏风湖似镜,四时风月,适性陶情
多难此登临,饱看万顷湖光,四围山色 闲亭留小筑,静听中宵梵唱,清昼钟声
百里共分猷,尚祈时雨时暘,保兹京庶 九峰常毓秀,安得好人好事,如此溪山
亿万姓蹈德咏仁,凿斯池也,筑斯城也 三百年畏神服教,尸而祝之,社而祭之
水附地而行,配夫天位,业冠百灵以上 兑于女为少,徯我后感,通周四海而遥
白水绕圩乡,尚祈淫潦无灾,曰暘恒若 青城崇里社,安得催科不扰,有吏皆循
酒国有长春,三醉楼头,记否亲吹玉笛 仙家多好梦,一炊黍许,何妨再续黄粱
文克经邦,武克定乱,勋名过开元宰相 忠以辅主,哲以保身,理学推大宋名儒
罔违道,阁咈民,真正公平,心斯无怍 不容情,不受贿,招摇撞骗,法所必严
分野纪畴人,掞扬壁府,奎文荫兹吴会 幽宗隆秩祀,调燮箕风,毕雨惠畅黎元
运会本无常,但看今日梅园,昔时桃岭 秃岭原持异,况复四围山色,万顷波光
东望锡山,香云有亭,百数年远追佳话 南临震泽,湖光照槛,七二峰半可指名
送夕阳,迎素月,上下一碧,波澜不惊 山横马迹,渚峙鼋头,尽纳湖光开绿野
三级曩增高,两点金焦,助起杯中吟兴 双峰今耸秀,万株松栝,涌来槛外涛声
山间明月,小院清幽,偶品香茗澄杂虑 江上雄风,神州奋发,共挥彩笔绘宏图
四围积奇石几层,月色夹空,如窥古涧 其地有高松百尺,绿荫翳日,时到异人
锦温花共醉,红莲并蒂,镜开千靥春霞 云洞播天开,欲往何从,一百八盘狭路
园林甲吴下,愿携琴载酒,作人外清游 云树远涵青,偏教十二阑凭,波平如镜
慈起无缘,悲运同体,恩遍圣凡含识中 冀有情共证真常,本寂灭心,说圆通法
一池碧水,几叶荷花,三代高贤松柏宅 满院春光,盈亭皓月,数朝遗韵惠兰馨
木屐桦冠,世外寒岩,终古相传如雪窦 钟声塔影,山塘精舍,到今依旧属云阳
高会即兰亭,叙觞咏幽情,更饶丝竹兴 新声征菊部,对苏台风月,应忆镜湖游
微芒鸿影,重叠云衣,笑指阑干呼范蠡 远草情种,孤花韵胜,旋移芳槛引流莺
此地宜有词仙,觅句堂深,一丘聊复尔 暮色偏怜高处,垂灯春浅,万绿正迷人
书道入神明,落纸云烟,今古竟传八法 酒狂称圣草,满堂风雨,岁时宜奠三杯
淮海名郡,英姿焕发,禾黍盈畴红粟积 苏中重镇,凤鸟腾飞,高楼遍布白烟飏
十年河东,十年河西,切莫放年华虚度 一脚门里,一脚门外,可晓得脚步留神
文克经邦,武克定乱,勋名过开元宰相 忠以辅主,哲以保身,理学推大宋名儒
保一城克复全功,吾父吾身,恩经早祀 阅卅载驻绥奋地,民歌民颂,报益难名
于东山之麓,升高得景,放鹤适其所隐 比西湖之屿,随处皆梅,作亭名亦相宜
漱玉集中,金石录里,文采有后主遗风 大河百代,众浪齐奔,淘去万个英雄汉
楼傍三秦,看岳色苍苍,久矣扩开限界 地邻九曲,听河声浩浩,诚哉荡涤胸襟
三教尽皈依,正直聪明,心似日悬天上 九州隆享祀,英灵昭格,神如水在地中
王业不偏安,拒曹和权,诸葛犹非知己 春秋大一统,寇魏帝蜀,紫阳乃许同心
公昔去长沙,笛吹黄鹤楼中,梅花默默 我今望秋月,帆挂翠螺山下,枫叶纷纷
诗中无敌,酒里称仙,才气公然笼一代 殿上脱靴,江头披锦,狂名直欲占千秋
不耸亭高,看天边云树苍茫,无非乐土 潮平岸阔,问江上舟帆来往,那是闲人
品尊至圣,不帝不王,悦服帝王者万国 行注真经,为道为教,景从道教于四方
万壑风回,问何时唤醒潜龙,恐偷珠去 一亭云净,好趁此抬回野鹤,还有诗来
广厦宏开,喜同故雨一堂,话十年萍梗 层楼更上,最好春风二月,看四面梨花
混成妙觉,非有非无,太极图中藏本相 元始灵机,至虚至实,鸿濛窍里见真空
忆黄粱炊熟又两千年,先生以后无人醒 把铁笛吹残刚两三下,尘世曾经几劫灰
仗三尺剑,扫天下妖氛,具见英雄手段 著千金方,拯民间疾苦,依然菩萨心肠
宗臣遗像肃清高,在地成形,在天成象 山川出云作霖雨,有仙则名,有龙则灵
南溪汩汩,清水淙淙,文豪诗伯闻千古 明月溶溶,黄龙仡仡,铁笔银钩烨万年
才高倚马,望重登龙,载诵清芬宏启佑 鄂渚班师,章门握节,敬从新历烝奉尝
适情于六柳堤边,人侣羲皇,民方怀葛 作塾在七松园里,动观知水,静爱仁山
清风徐来,水波不兴,扶持自是神明力 行人安稳,布帆无恙,霄汉常悬捧日心
群贤踵接,或仕或隐,大堪震东鲁宗风 志于道,据于德,依于仁,而后游于艺
剪烛高歌,尽低回本事诗篇,闲居岁月 停杯试问,有多少眼中奇士,梦里名山
百千日月,百千须弥,庐不出莲花藏里 八万人天,八万贤圣,众同游香水海里
胜国数名流,与七子抗行,是三家先路 前贤留故迹,有两株檐柳,又万柄池荷
是讲学地,亦宦游邦,每对荷花忆清德 居奎斗间,造文字福,更栽桂树纪登科
处处通途,何去何从？求两餐分清邪正 头头是道,谁宾谁主？吃一碗各自西东
酷暑此中消,但期林下清风,常盈我袖 凉云随荫处,安得人间喜雨,遍记吾亭
吾道非耶,六经以外无文章,韩山屹立 征夫遑止,太行之阳有盘谷,李愿归来
芳踪如晤,看执经问难,依然沂水春风 有菊重阳,有月中秋,于此间得少佳处
无舆出游,无屋与居,想胸次亦自修然 烟景迷离,无搅梦钟声,仅许先生美睡
造物本无私,移来槛外烟云,适开胜境 会心原不远,就此眼前山水,犹见古人
地狱即在眼前,莫到犯了罪时方才省悟 业镜虽悬台上,只要过得意去也肯慈悲
尺寸守孤忠,谁云海外遐荒,不登史册 三圭绵世泽,即此天朝宠赐,永固河山
口诛笔伐,公愤常昭,废陇谁题华表柱 骨化形销,秽名不减,斜阳冷照木棉亭
千秋炯戒,梼杌书名,一篇终殿奸臣传 万里投荒,刀绳毕命,九死方知狱吏尊
吾宗以忠厚相承,知先世积金皆由积德 此地为秀灵所聚,愿后昆多宝更要多贤
初日照三神山,看碧海珊瑚,尽收铁网 长风破万里浪,喜丹霄银榜,早兆珠宫
行路最难,才数起水驿山程,稍安勿躁 入关不远,莫忙逐车尘马足,且住为佳
甫入门来,才涉议思量,管教痛吃辣棒 已念粥了,莫胡言乱道,且去净洗钵盂
到此闲游,莫放过北岭奇岩,南国宝树 来人毋燥,且静观西山暮霭,东海朝晖
韬略备干城,威灵蛮夷,宏开汉家帝业 贞忠安社稷,泽施华夏,肇庆宋室祖绳
清风明月圣贤心,长享千秋,如参佛祖 水色山光名胜地,福临三峡,永作人师
青山之高,绿水之长,岂必佛方开口笑 徐行不困,稳地不跌,何妨人自纵心游
谁见碧鸡,玉韫山辉,望祀高文传汉使 曾来白鹤,天澄海净,凌虚清泪拟华亭
净扫烟尘,只关心千顷碧中,俨同无照 闲评风月,更放眼万峰青处,永怀岩栖
先天地生,溯阁中万古灯传,极本无极 为道法祖,仰云际三台鼎峙,玄之又玄
金石现普陀,将五百里滇池,都归佛海 援人登彼岸,愿一千只圣手,尽化慈航
大慈大悲,本百千万亿化身,斯为大士 观人观我,无色声香味触法,是谓观音
隐德合潜龙,际会明时,应作苍生霖雨 倦游似归鸟,相逢耆旧,只谈绿野桑麻
至道宏泽,孤忠希古,抗心足以有别也 潭水梅花,明月抚景,发兴如此良夜何
煨芋留宾,共领略世态炎凉,深山清况 焚香静坐,莫漫说峨嵋旧事,滇海新禅
胜地自西来,竹杖回春,特开千载梵境 妙法传东土,慈云垂荫,广被万劫群生
锡驻即前因,地拥花宫,劫历百千万亿 竹生含佛性,尘空梵境,欢同人鬼龙天
铜瓦一般,岿若武当,此地升香同享帝 铁壁诸关,屹然腾越,前代筹边大有人
三十年宦海平安,旦夕梵香,惟求利济 一万里慈云庇荫,闲关行役,重许瞻依
扶汉仰侯功,一心一意,浩气直吞吴魏 伏瘣崇帝号,乃神乃圣,明威尚震华夷
岂无好景衬楼台,狮岭晴岚,马桥烟柳 更有何声杂弦管,韶林威凤,清寺洪钟
地势居洞庭衡岳之中,山水平分南北望 仙风发韶乐钧天一奏,云霄恍听凤凰声
白杏参天,经酷暑严寒,仍保常年郁秀 庙堂立地,历明朝清代,无如今日辉煌
长空飞燕,忽高忽低,舞姿轻盈穿翠柳 天上明月,时近时远,光色柔和照琼楼
鸥点波心,伴友凭栏,湖中绿波翻新韵 蝉鸣树梢,邀朋把盏,廊外苍松奏凯声
黄皓振羽,一塔凌霄,寥廓楚天抒壮志 白龙喷玉,双狮倒影,峥嵘岁月赋长征
袅袅白云,不尽帆飞,三峡浪开东海日 翩翩黄鹤,无边霞涌,五洲客醉楚天春
千载此楼,芳草晴川,曾见仙人骑鹤去 卅年作客,黄沙远塞,又吟乡思落梅中
汉室在心,汉水在目,惟尔有神光大汉 江南者吴,江北者魏,何人雪涕对晴江
方域为城,汉水为池,大好河山资坐啸 东望武昌,西望夏口,平分风月付闲曹
石榴花塔,风度清雅,萃江汉枝嫩树碧 霓裳小院,琴韵悠扬,唱楚地天秀山青
见了便做,做了便放下,了了有何不了 慧生于觉,觉生于自在,生生还是无生
居廉让之间,莫教风俗移人,盛名难副 综岁科而试,敢曰权衡在我,僻地无才
桂垤荷塘,毓秀分香,足与西湖称胜侣 词坛艺苑,扬葩振藻,谁从南诏访逋臣
两庑荐馨香,咸钦名相谟猷,大儒学问 六桥揽风月,犹似川云宦绩,烟雨家乡
女唤莫愁,湖唤莫愁,天下事愁原不少 王宜有像,侯宜有像,眼中人像此无多
登斯楼也,其喜洋洋,把酒临风忘宠辱 望美人兮,予怀渺渺,挟仙抱日侣渔樵
人间已三度桑田,乘万里长风来观沧海 天上有五层楼阁,笑十年小谪得住蓬莱
天地本无私,长留杰阁崇楼,供人俯仰 心花须怒放,好趁夜游日涉,畅我胸襟
天地一沙鸥,何劳屈子九歌,贾生三策 江山留胜迹,犹是夕阳城郭,烟雨楼台
高阁此登临,笑看岳麓湘江,如屏如带 公园新建设,好供澧兰沅芷,树木树人
天外三峰,仰玉宇琼楼,几欲乘风飞去 心香一瓣,荡湘云楚水,相期玩月同来
楼阁莫便登,先看文正记中,何条似我 江山只如故,试数燕公去后,得助谁人
到处有楼,只羡八百里洞庭,这湖活水 眼前无地,但拥十二螺君山,那座灵台
呼来风雨,招来神仙,诗酒重逢应识我 流尽兴亡,淘尽豪杰,江湖放荡此登楼
鲁肃兵传,范公文远,万般气象观今日 滕王歌歇,黄鹤踪杳,十面湖山上此楼
我每一醉岳阳,见眼底风波,无时不作 人皆欲吞云梦,问胸中块垒,何日能消
身在九霄,看月印长江,千斛明珠涌出 眼空万里,望浮云孤岳,半天玉尺平来
楼外白云停,殊觉天际真人,至今未远 江边黄鹤返,纵有卷中佳句,到此皆空
千载此楼,芳草晴川,曾见仙人骑鹤去 卅年作客,黄沙远塞,又吟乡曲落梅中
锁连紫塞,泥封一丸,雄关曾照秦时月 指顾苍山,云起千叠,雉堞犹吟易水风
一代风流,振九洲盛世,赤县又添异彩 八方倜傥,扬五岳神威,长城更耀新华
过门不入,诞子不亲,终使洪流归大海 善言是拜,寸阴是惜,留将遗范育斯民
牛羊在野,菽麦连云,欣看万里升平象 钢铁为弓,风涛谱曲,犹忆千军破阵声
昔者崔兴宗到此题诗,千古不传双子美 今之王湘绮聚徒讲学,一门自有两船山
峻岭镇幽燕,近翊黄图,风雨永昭和会 灵山钟毕昴,遥连紫塞,阴阳迭起贞元
一堂佛相,大慈大悲,观众生苦多乐少 万岁共和,自由自在,愿从今偃武修文
潮汐撼危崖,澎渤涛声,即是观音示现 海天开净土,庄严世界,居然正法如来
自有佛法以来,无不皆仰大士寻声救苦 欲度众生至尽,唯如所说普门随应现身
乘本愿船、与慈运悲,广度有情登佛地 说十论经、拔苦兴乐,普令群荫转定业
雪浪照琳宫,芝草香中,慧日常悬震旦 天花飞梵座,杨枝雨后,祥云齐护潮音
启草昧而兴,有四百兆儿孙,飞腾世界 问龙蹻何道,是五千年文化,翊卫神州
苦雨凄风,愿诸君长住为佳,莫嫌局促 高山流水,羡雅人行吟涉履,不事推敲
瑞霭朝腾,看一缕烟缊,化作三峰云气 丹光夜发,向九霄照灼,上连北斗星芒
青山横郭,白水绕城,孤屿大江双塔院 初日英蓉,晚风杨柳,一楼千古两诗人
长白发祥,叠嶂层峦,朝拱遥看千笏列 龙泉擅胜,深庭幽壑,巡游曾引六飞来
大悲山上,开千眼、垂千手,超拔沉溺 婆娑界内,行六度、运六通,化道凡情
带砺控三韩,奇气东蹯,尚说英雄立马 沧桑消一局,层台西瞰,会邀仙客弹棋
龙泉擅胜,深庭幽壑,朝供遥看千笏列 长白发祥,叠嶂层密,巡游曾引六龙来
江水自天来,滚滚洪流,到此总归约束 孤峰拔地起,亭亭玉立,何须更待梳妆
上出霄汉,下临海门,立地顶天哪算小 远接匡庐,近抚扬子,环山抱水不为孤
白鸟忘机,任林间云来云去,云去云来 青山无语,看世上花开花落,花落花开
海屋并添筹正逢首夏清和留得长春富贵 华堂同祝嘏不信人间夫妇意如天上神仙
红面关黑面张白面子龙面面护着刘先生 奸心曹雄心瑜阴心董卓心心夺取汉江山
善报恶报循环果报,早报晚报如何不报 名场利场无非戏场,上场下场都在当场
兴隆佛教，光映佛门，戒德精严垂典范 亲近国王，位尊国宝，神通广大折刚强
色身易坏心难了，才脱皮毛，又生鳞角 罪性虽空报不亡，但消业障，莫造新殃
去日苦多，来日无多，如少水鱼何乐耶 人身难得，我身已得，开正法眼不虚之
白面书生，摇摇摆摆，问心中空空如也 马头娘子，扭扭捏捏，看足下悠悠大哉
点点扬花入砚池，近朱者赤，近墨者黑 双双燕子趋帘幕，同声相应，同气相求
天上月圆，地上月半，月月月圆逢月半 今宵年尾，明朝年头，年年年尾接年头
不增，不减，不生，不灭，不垢，不净 如梦，如幻，如泡，如影，如露，如电
种豆得豆，种瓜得瓜，举念时须修善果 说法非法，说相非相，会心处才是上乘
人心全没灭，还讲甚是是非非任凭尔去 天理自昭彰，须看那今今古古放过谁人
飞雪迎春，瑞雪迎春，飞雪瑞雪齐迎春 山西过年，陕西过年，山西陕西皆过年
白鸟忘饥，任林间云去云来、云来云去 青山无语，看世上花开花落、花落花开
半夜生孩儿，我管他子时乎，亥时乎 四维罗夕夕多，罗汉请观音，客少主人多
蔺相如，司马相如，名相如，实不相如 小翠花，小翠喜，一文一武，一京一汉
千载此楼，芳草晴川，曾见仙人骑鹤去 卅年作客，黄沙远塞，又吟乡思落梅中
为名忙，为利忙，忙里偷闲，吃杯茶去 劳力苦，劳心苦，苦中作乐，拿碗酒来
十年河东，十年河西，切莫放年年虚度 一脚门里，一脚门外，可晓得脚步留神
百鸟忘机，任林间云去云来，云来云去 青山无语，看世上花开花落，花落花开
到此闲游，莫放过北岭奇岩，南国宝树 来人毋躁，且静现西山暮霭，东海朝晖
南人归南，北人归北，小朝廷岂求活耶 孝子死孝，忠臣死忠，大丈夫当如是矣
青山横郭，白水绕城，孤屿大江双塔院 初日芙蓉，晓风杨柳，一楼千古两诗人
飞雪迎春，瑞雪迎春，飞雪瑞雪齐迎春 山西过年，陕西过年，山西陕西齐过年
修到神仙，看三醉归来，也要几杯绿酒 托生人世，算万般好处，都成一枕黄粱
乃圣乃神乃武乃文，扶四百载承尧之运 自西自东自南自北，如七十子服孔之心
烟雨楼台，革命萌生，此间曾著星星火 风云世界，逢春蛰起，到处皆闻殷殷雷
青山之高，绿水之深，岂必佛方开口笑 徐行不困，稳地不跌，无妨人自纵心游
天命诛妖，杀尽群妖，万里河山归化日 王赫斯怒，勃然一怒，六军介胄逞威风
无春衣夏衣秋冬衣，姑娘就不依 荷花朝上，蕉花朝下，两支朱笔点尽天文地理
不福星，真福星，即此一言，可为君寿 已五十，又五十，请至百岁，再征余文
民间疾苦几何饮之食之宜从仙子寻丹诀 世上膏肓万状名也利也何似山头多白云
天设奇方曰雪曰霰曰霜合来共成三白散 地生良药名芩名连名柏煎去都是大黄汤
光阴如过客快去作羹厨下莫延过客光阴 国中尚有人乎夜半鸡声劝英雄莫忘起舞
馆内人来从南北东西各抒己见交流信息 座中客无论农工商学自得其乐闲暇清心
偶然乘兴而来只因话梅子阴晴杏花消息 且试放怀凭眺可想见元龙豪概庚亮高风
长戈满地，一亭独幽，客子河梁携手去 把酒问天，陶然共醉，西山秋色上衣来
天险化康衢，直如海市楼中、现不住法 河壖开画本，安得云梯关外、作如是观
登斯楼也，其喜洋洋，把酒临风忘宠辱 望美人兮！予怀渺渺，挟仙抱月侣渔樵
人唤莫愁，湖唤莫愁，天下事愁原不少 王宜有像，侯宜有像，眼中人像此无多
衔远山、吞长江，其西南诸峰林壑尤美 送夕阳、迎素月，当春夏之交草木际天
烟柳有情，骀荡春光，风籁更催晨笛起 水天无际，澄鲜秋色，月明远共夜珠来
十里露华清，人影衣香，并作陌头秋色 万条烟柳重，晓风残月，带来城上春声
凿壁开窗，最可喜雪霁南山、霞明东海 庋床枕水，有几个春宵听雨、秋月弹琴
鸡笼山下、玄武湖边，振起景阳楼旧址 帝子台城、胭脂古井，依然同泰寺旧观
松韵鼓笙簧，和南屏之晚钟，清如雅奏 禅心开定慧，对雷峰之夕照，湛若明生
人生百年，把几多风月琴尊、等闲抛却 是翁千古，问尔许英雄豪杰、那个醒来
踞石而饮，扣槃而歌，最难得梅边清福 环山不孤，酿泉不冷，何须恋湖上风光
湖光山色依然，问海燕双双、飞向何处 古往今来如此，看秋磷点点、闪过空林
于东山之麓，升高得景，放鹤适其所隐 比西湖之屿，随处皆梅，作亭名亦相宜
后谢公携屐而来，吾人咏歌，独惭康乐 诵信国铭衣之语，天地正气，无愧庶几
石耸亭高，看天边云树，苍茫无非乐土 潮平岸阔，问江上舟帆，来往那是闲人
楼阁莫便登，先看文正记中，某条似我 江山只如故，试数燕公去后，得助何人
飞廉戢其威阴，闭感凄怆，俯仰迷上下 幽怀舒以畅阳，施见夸丽，巍峨拔华嵩
我每一醉岳阳，见眼底风波，无时不作 人皆欲吞云梦，问胸中块垒，何日能消
行路最难，才数起水驿山程，少安毋躁 入关不远，莫忙逐车尘马足，且住为佳
英雄儿女各千秋，昭烈有陵、薛涛有井 名士美人同一慨，尚书怜色、节度怜才
望江楼上望江流，江流千古、江楼千古 薛涛井畔薛涛冢，涛冢至今、涛井至今
石耸亭高，看天外云树苍茫，无非乐土 湖平岸阔，问江上风帆来往，那是闲人
招隐竟忘还，踏破苍苔，一笑原非捷径 薄游浑是感，待题红豆，几人来结吟朋
酣咏乐升平，落笔生风，壁立龙蛇飞动 起舞弄清影，虚榈转月，势浮舆盖方圆
柴门今始开，窈窕谁来，有客骖鸾翳凤 翠竹栽成路，弯环如许，小园曲径疏篱
仙子驾黄虬，玉树照秋，清梦重游天上 中宵按瑶凤，琼楼宴萼，古香吹下云头
宝户新成，看槛曲萦红、檐牙翡翠白石 阑干横暮，傍竹根清景、亭上新声梦窗
新烟惊换，旧雨难招，啸歌且尽平生事 款竹门深，移华槛小，林泉都在卧游边
谈言微中可解纷，当入古史记滑稽列传 声音之道通乎政，请看新世界戏曲改良
十亩地无多，只合春酒留宾、秋灯课子 半生天已定，且向西园学圃、东郭催耕
邱壑在胸中，看叠石疏泉，有天然画意 园林甲吴下，愿携琴载酒，作人外清游
山窗浓叠翠，恰受两三人坐，屋小于舟 云树远涵青，偏教十二阑凭，波平如镜
看周遮云实日华，低则若承、高则若拱 要摆脱天荆地棘，明不如晦、灵不如顽
慕南皮胜流，朱李甘瓜，愿十日平生住 忆西湖好景，风裳水珮，作三潭印月观
樊楼灯火、梁苑烟花，如读东京梦华录 何氏山林、谢家池阁，会续西园雅集图
一样著书庐，平分吴郡新诗、杭州旧酒 数间枕山屋，认取南屏对渡、西爽闲亭
翦烛高歌，尽低徊本事诗篇、闲居岁月 停杯试问，有多少眼中奇士、梦里名山
等闲辜负年光，看绿净亭台、翠凉庭宇 何人重赋清景，待三生杜牧、前度刘郎
梅花万树，密室先春，诸老林间图雅集 瘦鹤一声，长天欲雪，昨宵枕上梦孤山
家计费经营，一室安耕具，一室安钓具 世情资阅历，半日对古人，半日对今人
胜景称清楣，宛相逢武陵溪边桃源隐者 高名符旧德，应不减玉山堂上金粟道人
唤个月儿来，清光更多，只放冰壶一色 从今花影下，娇黄成晕，染教世界都香
游冶未知还，闲留莺管垂杨、渔栖暗竹 登临休望远，人倚虚阑唤鹤、隔水呼鸥
飞露洒银床，几树残烟，共倚筠屏葱茜 垂杨暗芙苑，半帘夕照，有情花影阑干
酹清杯问水，绣槛展春，花下凌波人梦 记晓叶题霜，垂杨梳雨，楼前有雁斜书
秋水浸芙蓉，四壁骊珠，波影暖浮玉甃 晴空摇翠浪，一声龙竹，素鳞远避金钩
花外琴台，自放鹤人归，何事登临感慨 竹间棋墅，喜嘶蝉树远，不妨留待凉生
醉月小红楼，珠络藏香，一片秋香世界 疏云萦碧岫，藓阶听雨，几层凉雨阑干
步翠麓崎岖，乱石穿空，如对茂林修竹 抱素琴独向，绮窗学弄，何妨低唱微吟
用则行、舍则藏，大德不官，大道不器 朝而归、暮而往，入林必密，入山必深
身不属人、心不求人，赢得一生闲到老 名难成我、利难就我，算来百计懒为高
万里神州，任凭他美雨欧风、飞不到此 一窝净土，多著些奇花怪石、聊可与娱
结交多名公钜卿，尊酒诗篇，只谈风月 生性爱美人才子，南船北马，遍看湖山
点缀好风光，敢忘坝上雪梅、西湖烟柳 流连旧名胜，何让万安碑奉、廿四箫声
