春风梳柳燕裁锦 秋雨点芦蛙弄声
流与寺并佳,三山独聚 地因人争胜,千古流芳.
昔曾瘗鹤一碑尚存,书自古人纷辩论 试比卧龙三招不起,山因高士并流传.
面面相窥,佛也须有靠背 高高在上,人到此即回头.
扬子江头渡杨子 焦山洞里住椒山.
水天一色 梅竹双清.
雄镇冠南徐,浪涌潮来,江海无边天外闻 名山环北固,吴头楚尾,金焦二点望中收.
山消双青,玉坞潜光高士卧 潮来一碧,金涸对峙仙人居.
领要得江山,鼎伏恰依仙隐处 观空参水月,锡飞还傍鹤铭边.
鸾岛白浮空,月涌江流间室梦 象山情入座,潮来窗外有龙吟.
天堑演楼船,忆瓜洲星火,京口烽烟,曾向丛林听鼓角 海门资锁钥,幸鲽伏鹣驯,蛟潜蚪隐,如携樽酒对江山.
山水足清音,赏寻物表 云烟供静养,妙契天倪.
学如逆水行舟,不进则退 心似平原走马,易放难收.
幽帘高卷迎新月 湘帐闲翻对古人.
商泊夜飞江月白 天门日射海涛红.
以诸花香,而散其处 令一孔毛,生无限云.
楚尾吴头,一片青山入座 淮南江北,半潭秋水烹茶.
活水有源头,万顷雨盈旸不涸 崇岗多好处,片云朝去暮还来.
拍板徵歌,唱大江东去 举杯邀饮,待明月西来.
杨子怀人渡扬子 椒山无意合焦山.
江声犹带蜀 山色欲吞吴.
此吴山第一峰也,问曹家横槊英雄,而今安在 去汉代两千年矣,数当日大江人物,不朽者谁.
岷水溯雄图,神依西蜀 焦峰冠灵宇,目俯东吴.
人莫心高,自有生成造化 事由天定,何须苦用机关.
临流口吸西江水 隔岸拳擎北固山.
苍茫海水连江水 罗列他山助我山.
勋高黄蔡,千秋浩气震名山. 汉魏最初名胜；
湖湘第一道场. 大翼垂天九万里；
长松拔地五千年. 寺门高开洞庭野；
殿脚插入赤沙湖. 登临曲径思余地；
稍驻征鞍且看花. 从古三湘擅胜景；
看花四季点丹枫. 泉在山清,万里朝宗终到海；
松经岁古,百年培养自凌云. 世界半疮痍,城郭人民环眼底；
英雄一盼睐,山川门户在胸中. 清净在音闻,倾耳循声度苦厄；
妙明原性觉,现身说法证圆通. 三七慈悲喜舍身,感湘土群声持诵；
四八庄严微妙相,应麓山万众瞻依. 西南云气来衡岳；
日夜江声下洞庭. 对云绝顶犹为麓；
求道安心即是宫. 云树吞余晴刹顶；
石泉流出晚钟声. 气吸岳云留石壁；
光淘湖月出松林. 絮擘晴云铺白袷；
纸裁秋叶当黄庭. 坐定昙花香古榻；
敲残尘梦随疏钟. 云壑灵钟龙伏磵；
麓坡深处虎生风. 江城秋放鹤；
山寺夜鸣泉. 老僧伫视风雨笑；
禹碑耻争岳麓名. 古刹出层霄,看岳色平分,湘流环绕；
名山留胜迹,有少陵写句,北海题碑. 二十年前此读书,记古寺夕阳,常看红树青山凌绝顶；
一千里外更穷目,数今朝风景,只有月色江声似旧时. 一亭雄楚望；
百里见潇湘. 望衡九面；
瞰郭万家. 嗜酒欲吞云梦泽；
挥毫乱点洞庭波. 忽讶艳红输,五百夭桃新种得；
好将丛翠点,一双驯鹤待笼来. 山径晚红舒,五百夭桃新种得；
峡云深翠滴,一双驯鹤待笼来. 夕阳虽好近黄昏,白日依山,莫若晨曦出海；
秋气从来多肃煞,丹枫如画,何如红芍飘香. 晚景自堪嗟,落日余晖,凭添枫叶三分艳；
春光无限好,生花妙笔,难写江天一色秋. 惟楚有材；
于斯为盛. 治无古今,育才是急,莫漫观四海潮流,千秋讲院；
学有因革,变通为雄,试忖度朱张意气,毛蔡风神. 千百年楚材,导源于此；
近世纪湘学,与日争光. 工善其事,必利其器；
业精于勤,而荒于嬉. 三湘隽士讲研地；
四海学人向往中. 合安利勉而为学；
通天地人之谓才. 纳于大麓；
藏之名山. 地接衡湘,大泽深山龙虎气；
学宗邹鲁,礼门义路圣贤心. 一水长流池不涸；
两贤相磋道终同. 岳麓学府传千载；
书院育才有良规. 惟楚有材,于斯为盛；
沅生芷草,澧育兰花. 院以山名,山因院盛,千年学府传于古；
人因道立,道以人传,一代风流直到今. 圣域修文,前有朱张讲坛,宋清宸翰；
名山汲古,上藏三坟五典,诸子百家. 教同化雨绵绵远；
泉似文澜汨汨来. 学忆朱张绵圣脉；
书传虞夏刻螭虬. 金声玉振；
虎跃龙腾. 惟楚有材,三湘弟子遍天下；
于世无偶,百代弦歌贯古今. 何处抬魂？香草还生三户地；
当年呵壁,湘流应识九歌心. 纳七十二峰,合孔门贤者数；
囿八百余里,接洞庭巨浪声. 痛饮读离骚,放开今古才子胆；
狂歌吊湘水,照见江潭渔父心. 鹤去泉仍冽；
山深亭自幽. 一代勋名昭国史；
千秋浩气壮名山. 谤满天下,泪满天下；
创造共和,再造共和. 成功不居,大丈夫当如是也；
有德则祀,我国家礼亦宜之. 热血一腔,尽瘁至死而后已；
玄黄再造,有功于民则祀之. 义不帝秦,间关万里；
功在救国,俎豆千秋. 平生慷慨班都护；
万里间关马伏波. 从头收拾了山河,一身尘土；
正气磅礴在天地,万古日星. 一戎衣而天下定；
微斯人吾谁与归. 达向九霄云路近；
峰高五岳众山低. 无大牺牲心,何能发难；
有少成败见,岂足论人. 花暖青牛卧；
山空碧水流. 神无方彻上彻下；
祖有训与和与能. 亿万香水海；
百千日月光. 千华千顶孰雕锼.
千朵雪莲,红裳翠盖,花雾飘香,隐南泉雅境 万株松柏,杏雨梨英,柳烟飞絮,藏北麓幽庵.
法相三尊,画卦兴医明道妙 神灵万古,观天察地立人伦.
一千峰里烟霞胜 十六景中图画存.
龙之为灵昭昭,降雨出云,何必独推东岳 泉水不舍混混,烟花柳浪,无异更作西湖.
峰不必一千,万象已呈真宰妙 景岂止十六,四时当作会心游.
长白发祥,叠嶂层峦,朝拱遥看千笏列 龙泉擅胜,深庭幽壑,巡游曾引六飞来.
瓶松不厌窗前玩 灯火独留阁上名.
不若者,当驱龙象狮都来作镇 相当者,难道松泉石互为呈奇.
泉水到僧厨,俗肠尽洗 松风来客榻,诗思频催.
泉水到僧厨,香凝沆瀣 松风来客榻,清挹蓬壶.
小立快吟诗,喜经阁三楹、晨光东上 高歌狂纵酒,看瓶峰一角、秋色西来.
大慈悲度一切苦厄 空色相见五蕴光明.
百万神兵,护彼一人得道 三千世界,看他谁肯参禅.
龙源泉声,吐流如漱 洞明天朗,光照若琼.
云气岚光,幻作阴暗四时景 松涛泉濑,飞来风雨半天声.
山环水绕,无非我去 苍松古柏,皆是如来.
室狭如舟,蓬窗四启峰围岸 山深似岛,松声一派海生潮.
抛刀一刻便升天,不事冷锅热灶 振锡数声恒彻地,何烦暮鼓晨钟.
大悲山上,开千眼、垂千手,超拔沉溺 婆娑界内,行六度、运六通,化道凡情.
龙隐藏云,宝塔通明四十景 泉流拥翠,香岩锦绣一千峰.
龙腾紫瑞,近焕东都胜 泉汩甘怡,遥连南海慈.
宝刹龙吟,翠柏独标千古秀 晨钟狮吼,青松自领四时春.
顿觉洞天法界,其动非色,其静非空 凡夫进入佛乘,所修为因,所证为果.
松影半庭,香萦佛面 梵声满寺,岩锁云根.
满院松荫,岩涵塔影 数声梵唱,香染僧衣.
水界辽河,山通华表,历数代毓秀钟灵,不愧东都胜迹 千峰拔地,万笏朝天,看四时晴岚阴雨,遥连南海慈云.
十二因缘,大树产自玄根,具眼堪晓 五千教典,圆诠终临理窟,罕遇知音.
甘露流恩,四维上下灵空,总入一乘净域 化城拥法,无妨百千亿万,终依三教宗风.
一寺可登天,险道纷陈,纳足容身通极顶 重峰齐仰月,浓辉尽染,涂墙抹瓦拥层云.
带砺控三韩,奇气东蹯,尚说英雄立马 沧桑消一局,层台西瞰,会邀仙客弹棋.
直破天荒,看磅礴振衣,得路几人探险上 快宜呼酒,对洪蒙排闼,连山奔马作潮来.
循蜚因提,德超十亿 钜灵泰壹,功赞三才.
随处化身,慈悲济物类 寻声救苦,善念达人间.
紫气东来,锁住白云开阆苑 黄峰北拱,环连绿水胜蓬莱.
原宽地峻洞藏云,吞尽千山奇气 寺壮峰高楼接日,全收万里彩图.
花雨同禅机悉活 松风与鹤梦俱清.
为涤尘襟寻宝刹 愿新庙貌焕灵光.
竹影松涛,悟得来罔非这个 水流山峙,参透处总属自然.
中峰顶圆妙孤高,从不许商量第二 会机原光明透彻,是什么弥满大千.
中立不倚,地脉独钟千峰秀 会心非远,天机全悟五宗禅.
潮月空山蓂荚落 露风灵响海天高.
海为龙世界 天是鹤家乡.
极是道宗,太极还从无极起 元为善长,三元总是一元分.
龙泉擅胜,深庭幽壑,朝供遥看千笏列 长白发祥,叠嶂层密,巡游曾引六龙来.
千朵莲花山滴翠,二宫、六观,红墙绿瓦清幽地,风光无限 万株古柏树生岚,五寺、七庵,暮鼓晨钟世外天,仙客有缘.
有阳明过客,闻雷月下,方悟山妖木魃盗甘泉. 竹海连山,经四百旋高路,轧轧轮声直上清凉世界；
莫干遗迹,历三千载流水,堂堂剑气凭看吴越春秋. 避暑入名山,自有松声竹影陪朝夕；
放怀游胜地,岂无逸兴豪情话古今. 银河无渡隔牛女；
竹海有桥凭画栏. 乐山乐水见仁智；
濯缨濯足詠沧浪. 从闻思修,入三摩地；
依戒定慧,证一心源. 越水吴山,百里风光长在目；
莫锋干锷,千秋剑气尚腾霄. 萌木掇芳,使人可乐；
疏泉凿石,辟地为亭. 从芦荡分流,翠岩百折；
汇竹溪直下,白练千寻. 奇气发山川,虎啸龙吟定有英雄来说剑；
深情托豪素,窗明几净最宜佳士此临池. 剑气腾霄,百战勋功垂汗竹；
将军横槊,七篇珠玉洒诗碑. 子丑寅卯辰巳午未申酉戌亥；
鼠牛虎兔龙蛇马羊猴鸡狗猪. 金支翠旗光有无.
有美一人,中夜闻五铢环珮 逸世独立,下游俯两点金焦.
砥柱中流,回凝长江万里水 奇峰耸立,撑起皓月一孤山.
放眼瀛台小 置身天地孤.
于青云而直上 挟飞仙以遨游.
一任风涛撼四面 绝无依傍峙中流.
青山不墨千秋画 流水无弦万古诗.
傲骨千秋,濯足江心淘日月 放怀万里,举头天外小湖山.
地辟海门,潮沙皆归容纳 天生砥柱,江山好自撑持.
砥柱挽狂澜,羡绩迈千秋,名艳小姑传凯乐 山城邻胜境,愧禄糜五斗,品殊陶令峙清流.
上有天最高,自然较为小 旁无山比峻,怎不算是孤.
江水自天来,滚滚洪流,到此总归约束 孤峰拔地起,亭亭玉立,何须更待梳妆.
上出霄汉,下临海门,立地顶天哪算小 远接匡庐,近抚扬子,环山抱水不为孤.
人间净土 江上峰青.
禹犁题柱 朱笔图河.
双峰虎啸 孤洑龙吟.
到此何须害怕 回头不必耽心.
辛苦历数载征途,记岳郡题楼,洪都登阁,斯游又几生修到 辟空耸千层顽石,却远观似画,近看似诗,此峰从何处飞来.
一日少闲,愧我无缘居上界 万方多难,问谁如是砥中流.
入寺恍疑雨 终霄只觉寒.
气障百川偏号小 名侪五岳孰云孤.
碧汉空中悬古寺 白云堆里响残钟.
千里此奇山,雾鬓云中,劫火不磨神女宅 一官怀故国,风帆江上,沧波流尽少年心.
雄峙大江中,宛如天柱飞来,矗立苍茫撑宇宙 佳名千古下,为问小姑何在,朗吟风月撼波涛.
梳长生鹤发 妆不老峰头.
江光铺白开妆镜 峰影浮青上晓鬟.
飞阁自凌虚,我步云梯来上界 狂澜谁说倒,天生砥柱在中流.
一叶渡孤峰,极目庐山江面小 双流萦带水,回头关键海门雄.
把酒四窗开,山翠映眉花映面 凭栏双眼豁,江光如镜月如梳.
潮落濯足,潮升濯缨,谢绝人间脂粉 月缺如梳,月圆如镜,居然天上妆台.
杰阁凌空,暮鼓晨钟萦广宇 妆亭倒影,沉鱼落雁上青峰.
水清鱼读月 山静鸟谈天.
潮回海眼涛声壮 砥柱江心浩气孤.
天监有赫 后德无疆.
天监厥德 后来其苏.
立定脚跟,那怕天风海浪 放开眼界,且看楚水吴山.
悬空削出芙蓉,壁立中流,任他巨浪掀腾,千仞岩墙攻不下 何处飞来踪迹,挺身北向,作我佳城朝对,一支牙牌插当前.
真山从作假山看. 砥柱突横流,看楚尾吴头,巨镇中分襟带巩；
钧天张广乐,听山鸣谷应,大江东去鼓钟来. 殿宇还雄,宝相金容仍赫赫；
馨香赖久,石钟湖水共悠悠. 胜地喜重径,想当年宇净香清,时从石壁高头,现出菩提树；
名神宜永祀,幸此日威宣灵著,又听钟声响处,认作普陀岩. 海市蜃楼,江上烟波偏媚我；
山明水秀,湖中风月最宜人. 光照日月,山河气壮；
名垂竹帛,祀重春秋. 疏凿巨岩,禹王伟绩；
访敲双石,李氏遗踪. 对月抒怀,问钟响何因,万古悬疑归此记；
临风把酒,看大江东去,千秋绝唱属斯翁. 曲径通幽,翠竹躬迎千里客；
悬崖访胜,红梅报俏一枝春. 五老云中出；
九江天际来. 水宽山远烟霞迥；
天淡云闲今古同. 长笛不吹江月落；
高楼遥吸好风来. 击筑且高歌,举杯狂醉彭湖月；
推窗聊寄傲,横槊闲吟庐阜烟. 禅门深闭月；
秋水净浮天. 拍岸涌惊涛,辽海月明闻鹤语；
回栏凭砥柱,沧江云卧有龙吟. 万里长江,流水滔滔归北海；
五峰绝壁,烟云渺渺接南天. 地脉南来,秀接衡阳石鼓；
江声东去,韵流苏寺霜钟. 楼阁影参差,十年人物,英雄劫后,有山供俯仰；
江湖流汇合,一派天风,雪浪秋来,无处不铿鍧. 江流石不转,把酒登临,叹滚滚英雄安在；
路险心亦平,凭栏俯仰,喜茫茫风月无边. 枫叶荻花秋瑟瑟；
闲云潭影日悠悠. 湖心清浊自分,且来濯足沧浪,水鉴尚多无了愿；
山石假真谁识,借作填胸块垒,石钟疑为不平鸣. 四面湖光三面石；
一声渔唱数声钟. 月白风清,苏子探奇自此去；
山回路转,游人寻胜入亭来. 听石钟镗鞳,即此便是灵山,愿我佛西来,广结无边善果；
苦幻海沉沦,不必远寻觉路,看大江东去,淘尽多少英雄. 稽首慈悲,遥指白云求佛荫；
关心镗鞳,愿逢黄石授兵书. 真面在山中,点头细认三生石；
大声发水上,洗耳惊闻半夜钟. 世路本艰行,叹迷人纵辔登山,到悬崖悔迟勒马；
慈航原普渡,愿众生回头是岸,向急流趁早收帆. 翠竹绕招提,恍入陀岩胜地；
清钟鸣蠡浦,如闻大海潮音. 岂容易登场,看煞费精神,方做出一生忠孝；
际承平作乐,愿时闻歌舞,永奠此百战湖山. 举头望明月；
荡胸生层云. 置身已觉超平等；
着眼还须在上头. 开窗纳宇宙；
把酒对湖山. 诗肠酒胆俱豪,今夕可谈风月；
秋水长天一色,故乡无比湖山. 返照衔窗,云霞万色；
回岸入座,金石千声. 岭上梅子熟未；
座中木樨香乎. 石骨耸峰余,百战河山增感慨；
钟声听浪击,千秋名士有文章. 巨石咽江声,长鸣今古英雄恨；
崇祠彰战绩,永奠湖湘子弟魂. 烈士竞捐躯,看俎豆常新,圣主由来重气节；
英雄长堕泪,痛干戈未定,将军且莫破愁颜. 浩气作湖山,只今庙祀石钟,遗烈不随章水逝；
将星临翼轸,岂特功高铜柱,国殇终竟是材多. 孤城百战狐兔尽；
壮士一去天地哀. 十万军犀舰,从衡水上截蛟龙,忠肝合镂双钟石；
九重天鸾书,慰恤云中泣猿鹤,华表长归五老松. 浩气郁乎岩疆,莽乾坤忠魄忠魂,耿耿精凝一片石；
大声发于水上,尘世界愚夫愚妇,茫茫梦破五更钟. 此间皆湘岳钟灵,羡俎豆一堂,节坛千秋回浩劫；
今日对湖山话旧,忆干戈满地,我经百战吊忠魂. 天籁西来,听铿铿金石如钟,振动一时豪杰；
大江东去,看滚滚银涛似雪,淘尽万古英雄. 人杰由地灵,听衡阳石鼓,蠡水石钟,存没声名弥宇宙；
成功岂天幸,叹躬瘁虎贲,魂抬虎穴,古今俎豆永春秋. 三楚萃英豪,数十年血战功成,羡煞诸公扶正气；
双钟鸣昼夜,千百载洪涛响应,独怜胜地寄忠魂. 三千里外湖山,逝水如斯,人去尚留新庙貌；
二百年余劫运,英风未泯,我来空拜故将军. 钟山分上下,当年才子留题,已有文章馨海内；
鄱水别东西,此日将军奏绩,又遗风烈镇江干. 守土陟名山,浪击钟鸣,壮士已成千古；
登陴防巨冠,风驰铎响,英灵来护三更. 障东南半壁,捣上下双钟,马革矢忠诚,不负二百年来养士；
聚川岳群英,肃春秋两祀,羊头真梦幻,何如数千里外归魂. 一览众山小,羡匡庐拔地,衡岳极天,更得双钟铭伟烈；
高唱大江东,想流水知音,回澜奏曲,空余万籁助悲声. 枕戈待旦,折戟沉沙,为吊昔贤悲骨肉；
射虎当年,化凫此地,独惭今我顾头颅. 铁索镇江湖,高垒雄关寒敌胆；
红旗飘华夏,香花清酒慰英灵. 遗垒尚存,浩气并湖山不朽；
英灵长在,丹心与日月争光. 石壁扼江流,百战英雄遗故垒；
钟声鸣碧落,多才志士续新篇. 好花香腻锦囊肥,红翻芍圃；
芳草情绵书帝瘦,绿镇芸栏. 呼酒撚花谈旧事；
曲栏小阁赏新晴. 春来小苑鸟声碎；
雨过回廊花气疏. 忠孝即兵符,长歌莫讶刘侯酒；
文章本经济,绕壁仍观魏相书. 沧江艳月,紫阜炉烟,渔钓亦宾俦,眼底风晖足潇洒；
红雨涨天,绿阴满径,琴樽忘主客,云中楼观是神仙. 胜地非虚,眺槛外烟波,半壁东南,图画天然成点缀；
高山在望,论眼前功业,大江左右,风云际会岂寻常. 小池波皱风三面；
乱石崖围月一窝. 过客来游,到此何妨少坐；
浮生若梦,劝君不必空忙. 长啸一声秋月白；
寄怀千古远峰青. 群贤毕至；
小住为佳. 梅开六十树,雪是精神,梦寄罗浮忘物我；
航受两三人,花为知己,笑经沧海载乾坤. 清晖能娱人,是曾经百战余生,荡除六代云山,两钟泉石；
浮踪仍泛宅,最难得九重知已,啸傲十洲风月,三岛烟霞. 具襟江带湖气象；
称吟风弄月情怀. 月来帘卷诗常好；
风暖花香酒未消. 修到是梅花,共领略山色湖光,一时行乐；
相逢泛萍水,莫辜负晨曦暮霭,小住为佳. 千山月色令人醉；
万顷湖光似镜平. 枫叶一江秋,小别重来慙老大；
梅花千古韵,几生修到是英雄. 绝壁系扁舟,忽闻镗鞳钟声,月夜佳游,恰为名山添韵事；
残灰余废垒,顿换壮严宝界,梅花供养,能消清福是英雄. 地接长江,吴楚青苔分极浦；
杯邀明月,湖山呼吸宴新秋. 三千里萍梗飘来,重向山头著屐；
六十本梅花开遍,好凭国手调羹. 瘦影当窗梅得月；
凉云满地竹笼烟. 心将客星隐；
身与浮云同. 敢向烟霞供啸傲；
不妨谈笑觅封侯. 接水峙灵岩,听深霄江上钟镛,应唤醒万家尘梦；
连霞建飞阁,睹奕祀云中樽俎,最难忘百战勋勤. 砥柱镇东南,试看大地山河,百战功成还正气；
钟岩分上下,且喜满天风月,一楼名胜占秋光. 双钟风月千秋在；
六代江山百战收. 湖光与天远；
山色上楼多. 红日挟飞扶国计；
白云遥指忆亲心. 在昔人才,于此赏奇辨惑；
而今山名,也知逃墨归儒. 露叶霜枝剪寒碧：
小亭曲栏倚深红. 悟道参元,福田香国；
明心见性,水月江天. 现来真面目,非佛非仙,乃是终南进士；
显出大威灵,除魔除祟,奉为天下明神. 立悟诗心开俗障；
坐参禅意养天机. 天开佛国清修地；
我亦人间苦行僧. 杨柳不随春风老；
劲松唯有岁寒知. 山中有宅开三径；
天下何人守四知. 下界尘飞不染红.
大欢喜地 小竺迦天.
旭日朝霞红雨乱 天风海水白云闲.
海上生明月 山中有白云.
涧草足灵药 仙山多白云.
山猿借钵藏新果 野鹿衔筐送早茶.
秦有郑仙,汉有安仙,史传强区分,终以龙门为信笔 生于东海,游于南海,烟霞遍踪迹,独以羊石辟清都.
疑是琅環,别有天地开世界 曾经沧海,不如泉水在山中.
吾亦澹荡人,常时不肯入官府 名岂文章著,诸君何以答升平.
绿树多生意 白云无尽时.
云开世外三千界 岩依天南第一峰.
青松如膏沐 白云生坐边.
法雨润三城,任年来劫火扬威,尚有灵光存鲁殿 宗风传五岭,看门外石泉孕秀,好将胜迹继曹溪.
秋老闲门心自适 时过佳士趣方清.
珠海正横流,不尽滚滚英雄,谁作南天石柱 白云反胜概,即此亭亭耸峭,全收百粤江山.
天下有道,我黻子佩 空山无人,水流花开.
久知世界一泡影 愿向先生借枕头.
剑气横空,喜八表风清,重洋浪静 笛声催晓,看四山云起,万井烟浓.
莫向神仙看汉柱,云迷秦桥石烂 曾经沧海忆钱塘,月满黄浦潮来.
寒暑隔阂于邃宇,虹蜺回带于云馆 海山浮动而出没,仙圣飞腾而往来.
笑啸几人,同祠丹崖,地近东坡,知从古忠孝神仙,心源一契 翱游天下,小暮苍梧,朝来北海,看此间蓬瀛方丈,拳石三山.
从龙逐鹿两茫然,我思妙用无方,何害英雄同儿女 黄石赤松皆戏耳,独怪全善有术,不遭烹醢即神仙.
生叔季世,有豪侠心,报韩椎秦,兴刘灭项 绝富贵交,为神仙侣,进履辟谷,拜石受书.
为帝者师,佐汉功原高将相 弃人闲事,报韩心已了英雄.
犹作帝王师,君臣相与济时会 虽非介胄士,指挥若定失萧曹.
神德庇三农,统天田以乾象 恩膏流百粤,兴云雨于雩坛.
惟德动天,龙之为灵昭昭也 其功在水,神之格思洋洋乎.
田鼓助桑麻,丹荔黄蕉隆肸蚃 云旗回岛屿,珠宫贝阙奠灵长.
嘉澍庆知时,仰神赞天功,灵嘘元气 大田歌既渥,看泽周南海,福庇东瀛.
五百年故侯安在？只我倚栏看剑,泪洒英雄. 如此江山,对海碧天青,万里烟云归咫尺；
莫辞樽酒,值蕉黄荔紫,一楼风雨话平生. 五岭南来,珠海最宜明月夜；
层楼晚眺,白云犹是汉时秋. 急水与天争入海；
乱云随日共沉山. 岁登大有,人乐春台,览胜直穷千里目；
海不扬波,山皆献瑞,筹边时上五层楼. 庐橘夏熟；
桂树冬荣. 公羊传经,司马记史；
白虎德论,雕龙文心. 南国祭酒,说文九千字；
东邦大儒,著书数万言. 智水仁山,在此堂宇；
经神学海,发为文章. 绎史诵经,思在古昔；
登高远望,显于今时. 学贯九派,汇此地人文法海；
秀开百粤,看群贤事业名山. 安得广厦千万间,天下几人学杜甫；
日啖荔枝三百颗,平生最爱说东坡. 现大士化身,问谁仙佛因缘在；
即越王遗迹,从古英雄感慨多. 大节炳南天,想当年折戟沉沙,兵气已随尘劫尽；
崇祠依北郭,望空际云车风马,英魂都自战场来. 花径云霞通粤秀；
萝门风月话山阴. 地近越王台,入室有秦时明月；
家传太邱长,登台怀汉代高风. 湖海豪情,元龙高卧；
神仙遐思,黄鹤来游. 绕郭有山,白云高妙；
近水得月,清光大来. 何氏山林依绿水；
米家书画寄沧江. 闭门觅句怀无已；
索笑巡檐大有人. 江湖忠悃三遗事；
岭表文人百世师. 海气百重楼,能谓浮云可蔽日；
文章千古事,生逢异代不同时. 前途许多障碍,此地别开生面,忽觉得天空地阔,放大光明.
几经拨云寻路,倚树听泉,喜茫茫才到此清凉境界 一任鱼跃鸢飞,天空海阔,活泼泼都收上画图楼台.
山翠万重当槛出 水光千里抱城来.
任他热利名场,登台亦冷 到此清凉境界,有句皆仙.
殿阁生微凉,共为羲皇上人,到此春台啜春茗 造化钟灵秀,遍访岩穴间士,始知通海出通才.
天上何曾有山水 人间岂不是神仙.
层台云敛双湖碧 古殿风生六月寒.
松翠时相引 梨红不肯凋.
试凭栏看他海气渊涵,山光倩丽 且纵酒写我胸中淡宕,眼界清空.
欲上高峰,到此地何妨小憩 回看下界,登斯楼竟已升仙.
有景有情,君休忙,坐坐又走 好山好水,我只想,看看再来.
归去来兮,身愧一行作吏 老夫耄矣,悔不十年读书.
百道湖光千树雨 万山明月一声钟.
结大欢喜缘,只这笑呵呵,收拾囊中宝物 除真烦恼障,看他腹坦坦,鼓吹世上春风.
湖空山色静 阁回树光寒.
秀山青雨青山秀 香柏古风古柏香.
求嗣凭一点良心,多福愈且寿多 做人存几分天理,贤子更有贤孙.
步步小心,谨防前头路窄 层层着眼,须知后面山高.
一亭人谓如拳耳 是海吾将欲袖之.
清樽共一亭,醉翁之意在山水 往事论千载,贤者所怀无古今.
海色澄清,云雾荡开天地憾 潮声汹涌,波涛洗尽古今愁.
海暗云无叶 山寒雪有花.
云连树色微分岸 船载波光直到门.
一粒米中藏世界 半边锅内煮山河.
能有几回来. 伶俐汉,莫教世间瞒过；
大丈夫,须以苦海超生. 迦叶欲传衣,一盏慧灯照金顶；
大士常祝圣,两颗牟尼镇石钟. 看不远千里而来,亦知向善；
果能够慧心常在,乃遂我心. 花为传心开锦绣；
松知护法作虬龙. 峰影遥看云盖结；
松涛静听海潮生. 放下时何物是我；
担取去那个为谁. 入山门未开,以甚么拳拳自守；
撒手衣何在,有些子妙妙难传. 弹指作声,是以何处来此；
开颜见佛,好在这里入门. 眉毛上无边刹海；
衣袖里藏尽虚空. 法海独无生,无生自因无住；
迷津谁大觉,大觉由来大雄. 尽底脱去胸中有；
逐一拈来何处无. 此事没覆藏,获睹明星杲日；
全机难打彻,谁似枯木石头. 诸名哲披风戴雨,历尽寒酸,只为向上一着；
善知识苦心毒口,无量接引,莫待后会重来. 迷则不觉,觉则不迷,好从大圆镜中照出本来面目；
色即是空,空即是色,却自真如界里证明无上菩提. 数掾不厌居松顶；
六月还须坐火边. 含万法以遍十方,草木皆开,呼醒群迷归正觉；
阅三乘而超百劫,昏蒙尽舍,声回大地悟真空. 如来藏,空不空,流出无边香水海；
摩尼珠,色非色,包罗万象宝玉幢. 三餐常念农夫苦；
一饭难忘佛祖恩. 休作恁么猜,小牯牛何曾有影；
会得来个意,柏树子随处生春. 不待海枯才见底；
但逢月上即敲门. 柱杖尾掉一片白云,不重不轻,任我拈为诗料；
火炉头上几句冷语,亦吞亦吐,有谁透着宗风. 一片滑石路；
三缘枯木禅. 以端坐为须弥,放下的便是；
以明日为来世,已过者不留. 有法知不染；
无言谁当酬. 去草搜奇石；
留云补断山. 天宫极于非想,不知非想之上毕竟何穷,安得问之大觉；
世界极于大千,不知大千之外复有何物,吾尝于此俨然. 破衲霞襟,樵径有霜寻药冷；
犁耕蔬食,石床无月了经迟. 天王人王平等观,安用五体投地；
出世入世随宜过,本可一笑付之. 山中古佛由来古；
世外闲人那个闲. 佛之光,迦叶为世尊第一上首；
五岳之外,鸡足乃天下有数名山. 若阁灵山消息,须向心中进步；
要明大士手眼,不离当下参求. 天王人王平等观,安用五体投地；
出世入世随宜过,本可一笑付之. 大迦叶结集所成,留与人天开妙慧；
苏长公流览有得,发为文字作奇观. 何必动口便云禅,且自吃当家茶饭；
须知到头才有味,说不出个里甜酸. 万山排紫绿；
一宝贮消虚. 虽无着足处；
自有破颜时. 窟中眠似蛰；
座上吼如雷. 咬人须见血；
踞地了无形. 未曾登宝座；
先去解金铃. 若是要寻多子塔；
必先跳出九重岩. 鸡为有声行不动；
花因无影笑难窥. 白云老父无遗产；
金色头陀有笑颜. 索笑岂无拈笑手；
解铃须是系铃人. 从枬檀林中得入路；
在袈裟石上固本参. 不用机关能陷虎；
欲探消息忽闻鸡. 行不到头,只为鸡原有足；
笑难开口,也知花本无情. 本自无生,须在个中寻祖意；
俨然未散,谁知此地即灵山. 花放笑颜开,种蒂曾分双树下；
鸡啼尘梦醒,发明全在五更初. 同见钵罗花开,阿谁解饮光微笑；
幸有金襕衣在,何时无弥勒下生. 今日又见花开,若个破颜当法席；
到此不闻鸡唱,何须侧耳问空山. 鸡唱于绝响之时,不待三声谁有觉；
花开在共见之处,岂容一个独开颜. 鹫岭拈来有何消息,露在一枝,引得破颜迦叶笑；
鸡山胜处岂非形势,埓于三尺,要将唤醒世人迷. 宾壶酒尽人皆醉；
苍山雪岭我独餐. 寿颂南山瑶池瑞；
樽开北海蓬岛春. 山空月满楼.
频年在这个山中,与水为缘,偶种成林泉花草 举世入奈何天里,及时行乐,都来上烟雨楼台.
